,Enter Time,Exit Time
0,2024-01-10 00:59:20.625200,2024-01-10 00:59:23.893463
1,2024-01-10 00:59:24.153077,2024-01-10 00:59:27.363610
2,2024-01-10 00:59:27.728840,2024-01-10 00:59:29.919713
